latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
8.58025,26.94816,333.17,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,300.64,3.16,D
8.64353,26.90361,351.87,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.25,15.78,D
8.64399,26.90073,345.41,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,293.4,9.46,D
8.64465,25.94636,347.04,0.52,0.41,2025-10-31,1121,N,VIIRS,n,2.0NRT,287.3,7.57,D
8.64467,26.90491,340.57,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,293.47,9.46,D
8.64542,25.95104,333.3,0.52,0.41,2025-10-31,1121,N,VIIRS,n,2.0NRT,288.29,7.57,D
8.64892,26.63343,352.53,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,304.97,28.72,D
8.65189,26.62851,351.74,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,299.84,10.21,D
8.6547,26.73829,341.04,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,290.96,6.77,D
8.65485,26.62358,333.64,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.21,6.96,D
8.65808,27.04215,343.62,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.19,4.22,D
8.65995,27.04319,346.53,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.9,7.82,D
8.66167,27.04158,333.52,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.77,4.57,D
8.66221,25.98194,339.74,0.52,0.41,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.32,6.86,D
8.67698,25.38765,330.97,0.56,0.43,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.83,3.92,D
8.68992,26.63113,334.76,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.59,3.57,D
8.69061,26.63544,337.75,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,292.59,3.57,D
8.69357,30.2812,344.64,0.38,0.36,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.48,5.48,D
8.69358,26.63052,335.21,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,294.92,3.57,D
8.6941,30.28468,334.12,0.38,0.36,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.56,5.48,D
8.69742,30.28417,333.34,0.38,0.36,2025-10-31,1121,N,VIIRS,n,2.0NRT,294.7,3.46,D
8.69793,26.63422,346.15,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.32,8.85,D
8.70074,26.63463,334.45,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.97,4.11,D
8.70744,26.42281,334.34,0.49,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.85,7.88,D
8.70816,26.42722,332.89,0.49,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.15,7.88,D
8.72873,26.01091,333.45,0.51,0.41,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.21,4.24,D
8.78525,26.96814,332.56,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,290.76,5.24,D
8.78885,26.96756,344.38,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,290.51,5.24,D
8.79837,26.08017,336.14,0.51,0.41,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.32,3.43,D
8.80734,26.13533,341.45,0.5,0.41,2025-10-31,1121,N,VIIRS,n,2.0NRT,298.78,4.3,D
8.81861,26.13343,346.78,0.5,0.41,2025-10-31,1121,N,VIIRS,n,2.0NRT,299.9,6.69,D
8.85589,26.87183,330.12,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,293.32,2.42,D
8.86846,26.55935,331.59,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,294.5,2.02,D
8.86846,32.71064,330.21,0.44,0.38,2025-10-31,1121,N,VIIRS,n,2.0NRT,288.28,4.94,D
8.86986,26.56802,338.45,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,293.93,5.82,D
8.87353,26.56744,339.32,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,294.97,27.71,D
8.87421,26.47801,338.41,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.17,6.68,D
8.87555,32.78329,334.17,0.44,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,293.2,5.98,D
8.87615,32.78732,338.06,0.44,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,294.28,5.98,D
8.8772,26.56687,339.26,0.48,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,300.17,27.71,D
8.87972,32.83626,333.44,0.45,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,292.49,2.6,D
8.88031,32.84031,331.46,0.45,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,293.26,4,D
8.88829,26.41337,339.13,0.49,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,299.71,6.79,D
8.89002,29.052,332.36,0.39,0.36,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.95,2.14,D
8.89017,26.41211,336.87,0.49,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,299.86,6.91,D
8.8983,26.88206,353.25,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,287.59,10.69,D
8.90887,29.10712,330.61,0.39,0.36,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.24,3.15,D
8.91934,28.79895,339.82,0.4,0.37,2025-10-31,1121,N,VIIRS,n,2.0NRT,301.41,10.72,D
8.98232,26.66511,350.15,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,296.44,6.35,D
8.98528,26.66024,351.05,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.99,6.55,D
8.98597,26.66452,338.11,0.47,0.4,2025-10-31,1121,N,VIIRS,n,2.0NRT,297.67,6.35,D
8.99704,29.02074,332.01,0.39,0.36,2025-10-31,1121,N,VIIRS,n,2.0NRT,294.17,5.88,D
9.06113,26.92438,333.19,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,292.72,4.14,D
9.06179,26.92851,357.11,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.02,27.62,D
9.06245,26.93265,351.56,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,293.15,27.62,D
9.06472,26.92379,333.42,0.46,0.39,2025-10-31,1121,N,VIIRS,n,2.0NRT,294.15,4.14,D
9.19539,28.99203,330.63,0.39,0.36,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.24,3.42,D
9.20275,28.55396,348.47,0.4,0.37,2025-10-31,1121,N,VIIRS,n,2.0NRT,300.63,5.79,D
9.20331,28.55758,339.95,0.4,0.37,2025-10-31,1121,N,VIIRS,n,2.0NRT,300.24,5.79,D
9.22848,28.42639,330.18,0.4,0.37,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.42,2.19,D
9.26488,29.04286,334.95,0.39,0.36,2025-10-31,1121,N,VIIRS,n,2.0NRT,294.22,4.79,D
9.27156,29.04181,331.66,0.39,0.36,2025-10-31,1121,N,VIIRS,n,2.0NRT,292.24,2.39,D
9.36918,29.47693,340.54,0.39,0.36,2025-10-31,1121,N,VIIRS,n,2.0NRT,295.99,4.44,D
9.0205,26.25616,335.08,0.49,0.41,2025-10-31,1123,N,VIIRS,n,2.0NRT,298.34,6.86,D
9.02543,23.97708,329.53,0.45,0.47,2025-10-31,1123,N,VIIRS,n,2.0NRT,296.69,3.72,D
9.05003,24.56038,333.43,0.41,0.45,2025-10-31,1123,N,VIIRS,n,2.0NRT,298.72,4.1,D
9.05415,24.55967,340.28,0.41,0.45,2025-10-31,1123,N,VIIRS,n,2.0NRT,298.92,4.1,D
9.05805,24.25148,341.96,0.43,0.46,2025-10-31,1123,N,VIIRS,n,2.0NRT,297.27,5.61,D
9.0626,26.44451,332.38,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,299.1,1.79,D
9.06331,26.44888,347.09,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,302.29,10.76,D
9.10515,26.54459,342.36,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,304.75,7.2,D
9.13222,26.37178,337.82,0.49,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,299.6,4.96,D
9.13391,26.31255,330.07,0.49,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,298.58,5.03,D
9.14484,26.51756,343.39,0.48,0.4,2025-10-31,1123,N,VIIRS,n,2.0NRT,298.62,4.79,D
